ID,Punto_Partida,Punto_Llegada,Distancia (km),Tiempo (min),Precio (S/),Empresa_Courier
1D280,Chorrillos,Santa Rosa,25.87,35,20,Serpost
1D280,Chorrillos,Santa Rosa,25.87,22,26,DHL Express Perú
1D281,Chaclacayo,Ate,11.75,78,25,Olva Courier
1D281,Chaclacayo,Ate,11.75,27,16,Serpost
1D281,Chaclacayo,Ate,11.75,42,19,DHL Express Perú
1D282,Independencia,Ancón,22.91,111,17,Olva Courier
1D282,Independencia,Ancón,22.91,88,26,Serpost
1D282,Independencia,Ancón,22.91,109,23,DHL Express Perú
1D283,Punta Hermosa,Cieneguilla,25.04,42,19,Olva Courier
1D283,Punta Hermosa,Cieneguilla,25.04,26,15,Serpost
1D283,Punta Hermosa,Cieneguilla,25.04,17,15,DHL Express Perú
1D284,Punta Negra,Santiago de Surco,14.58,63,15,Olva Courier
1D284,Punta Negra,Santiago de Surco,14.58,92,13,Serpost
1D284,Punta Negra,Santiago de Surco,14.58,123,19,DHL Express Perú
1D285,Barranco,El Agustino,12.34,94,21,Olva Courier
1D285,Barranco,El Agustino,12.34,88,13,Serpost
1D285,Barranco,El Agustino,12.34,41,19,DHL Express Perú
1D286,Miraflores,Chorrillos,9.04,68,10,Olva Courier
1D286,Miraflores,Chorrillos,9.04,87,21,Serpost
1D286,Miraflores,Chorrillos,9.04,32,18,DHL Express Perú
1D287,Callao,Santa María del Mar,29.71,108,24,Olva Courier
1D287,Callao,Santa María del Mar,29.71,71,17,Serpost
1D287,Callao,Santa María del Mar,29.71,103,20,DHL Express Perú
1D288,Santa Anita,La Molina,10.71,53,10,Olva Courier
1D288,Santa Anita,La Molina,10.71,81,21,Serpost
1D288,Santa Anita,La Molina,10.71,100,18,DHL Express Perú
1D289,Punta Hermosa,Miraflores,11.6,94,15,Olva Courier
1D289,Punta Hermosa,Miraflores,11.6,28,15,Serpost
1D289,Punta Hermosa,Miraflores,11.6,121,17,DHL Express Perú
1D290,Pueblo Libre,Jesús María,21.04,62,21,Olva Courier
1D290,Pueblo Libre,Jesús María,21.04,79,22,Serpost
1D290,Pueblo Libre,Jesús María,21.04,26,22,DHL Express Perú
1D291,San Juan de Lurigancho,La Molina,29.78,124,18,Olva Courier
1D291,San Juan de Lurigancho,La Molina,29.78,73,14,Serpost
1D291,San Juan de Lurigancho,La Molina,29.78,31,17,DHL Express Perú
1D292,Callao,Santiago de Surco,10.99,90,22,Olva Courier
1D292,Callao,Santiago de Surco,10.99,102,25,Serpost
1D292,Callao,Santiago de Surco,10.99,55,16,DHL Express Perú
1D293,Surquillo,Magdalena del Mar,19.77,78,15,Olva Courier
1D293,Surquillo,Magdalena del Mar,19.77,78,13,Serpost
1D293,Surquillo,Magdalena del Mar,19.77,79,15,DHL Express Perú
1D294,Carabayllo,Punta Hermosa,10.21,65,12,Olva Courier
1D294,Carabayllo,Punta Hermosa,10.21,87,15,Serpost
1D294,Carabayllo,Punta Hermosa,10.21,25,24,DHL Express Perú
1D295,Santa Anita,Los Olivos,27.84,80,18,Olva Courier
1D295,Santa Anita,Los Olivos,27.84,86,16,Serpost
1D295,Santa Anita,Los Olivos,27.84,38,14,DHL Express Perú
1D296,El Agustino,Santa Rosa,21.87,96,20,Olva Courier
1D296,El Agustino,Santa Rosa,21.87,23,17,Serpost
1D296,El Agustino,Santa Rosa,21.87,118,16,DHL Express Perú
1D297,Miraflores,San Borja,14.5,60,13,Olva Courier
1D297,Miraflores,San Borja,14.5,59,20,Serpost
1D297,Miraflores,San Borja,14.5,66,17,DHL Express Perú
1D298,Cieneguilla,San Borja,15.68,109,20,Olva Courier
1D298,Cieneguilla,San Borja,15.68,33,17,Serpost
1D298,Cieneguilla,San Borja,15.68,28,26,DHL Express Perú
1D299,Puente Piedra,San Borja,25.13,120,21,Olva Courier
1D299,Puente Piedra,San Borja,25.13,58,15,Serpost
1D299,Puente Piedra,San Borja,25.13,57,18,DHL Express Perú
1D300,Surquillo,San Isidro,29.27,41,12,Olva Courier
1D300,Surquillo,San Isidro,29.27,38,24,Serpost
1D300,Surquillo,San Isidro,29.27,103,16,DHL Express Perú
1D301,Cieneguilla,San Isidro,17.0,111,19,Olva Courier
1D301,Cieneguilla,San Isidro,17.0,106,9,Serpost
1D301,Cieneguilla,San Isidro,17.0,73,22,DHL Express Perú
1D302,Pueblo Libre,Ate,12.71,52,22,Olva Courier
1D302,Pueblo Libre,Ate,12.71,63,23,Serpost
1D302,Pueblo Libre,Ate,12.71,25,19,DHL Express Perú
1D303,San Martín de Porres,Ventanilla,21.36,62,24,Olva Courier
1D303,San Martín de Porres,Ventanilla,21.36,69,10,Serpost
1D303,San Martín de Porres,Ventanilla,21.36,104,13,DHL Express Perú
1D304,Rímac,Chaclacayo,12.23,54,18,Olva Courier
1D304,Rímac,Chaclacayo,12.23,68,16,Serpost
1D304,Rímac,Chaclacayo,12.23,69,13,DHL Express Perú
1D305,Bellavista,Chaclacayo,5.71,93,12,Olva Courier
1D305,Bellavista,Chaclacayo,5.71,113,20,Serpost
1D305,Bellavista,Chaclacayo,5.71,58,21,DHL Express Perú
1D306,El Agustino,Los Olivos,22.5,96,15,Olva Courier
1D306,El Agustino,Los Olivos,22.5,20,19,Serpost
1D306,El Agustino,Los Olivos,22.5,91,13,DHL Express Perú
1D307,Chaclacayo,Mi Perú,5.66,52,21,Olva Courier
1D307,Chaclacayo,Mi Perú,5.66,54,24,Serpost
1D307,Chaclacayo,Mi Perú,5.66,38,17,DHL Express Perú
1D308,San Juan de Miraflores,Lince,13.42,68,19,Olva Courier
1D308,San Juan de Miraflores,Lince,13.42,20,17,Serpost
1D308,San Juan de Miraflores,Lince,13.42,110,23,DHL Express Perú
1D309,Comas,Carabayllo,20.24,83,13,Olva Courier
1D309,Comas,Carabayllo,20.24,28,15,Serpost
1D309,Comas,Carabayllo,20.24,54,18,DHL Express Perú
1D310,Villa El Salvador,San Isidro,24.66,62,15,Olva Courier
1D310,Villa El Salvador,San Isidro,24.66,30,24,Serpost
1D310,Villa El Salvador,San Isidro,24.66,112,22,DHL Express Perú
1D311,La Punta,Pachacámac,21.99,90,22,Olva Courier
1D311,La Punta,Pachacámac,21.99,32,19,Serpost
1D311,La Punta,Pachacámac,21.99,74,13,DHL Express Perú
1D312,Breña,Lurigancho,18.72,121,22,Olva Courier
1D312,Breña,Lurigancho,18.72,87,16,Serpost
1D312,Breña,Lurigancho,18.72,19,19,DHL Express Perú
1D313,Los Olivos,Pachacámac,14.32,40,17,Olva Courier
1D313,Los Olivos,Pachacámac,14.32,112,25,Serpost
1D313,Los Olivos,Pachacámac,14.32,42,21,DHL Express Perú
1D314,Pueblo Libre,Ventanilla,27.08,122,24,Olva Courier
1D314,Pueblo Libre,Ventanilla,27.08,23,24,Serpost
1D314,Pueblo Libre,Ventanilla,27.08,48,21,DHL Express Perú
1D315,Pueblo Libre,Punta Hermosa,15.9,102,14,Olva Courier
1D315,Pueblo Libre,Punta Hermosa,15.9,84,19,Serpost
1D315,Pueblo Libre,Punta Hermosa,15.9,93,22,DHL Express Perú
1D316,Callao,Puente Piedra,14.47,78,14,Olva Courier
1D316,Callao,Puente Piedra,14.47,29,17,Serpost
1D316,Callao,Puente Piedra,14.47,74,24,DHL Express Perú
1D317,Barranco,Villa El Salvador,11.26,42,22,Olva Courier
1D317,Barranco,Villa El Salvador,11.26,21,13,Serpost
1D317,Barranco,Villa El Salvador,11.26,45,22,DHL Express Perú
1D318,Bellavista,Pachacámac,25.39,43,22,Olva Courier
1D318,Bellavista,Pachacámac,25.39,59,26,Serpost
1D318,Bellavista,Pachacámac,25.39,78,25,DHL Express Perú
1D319,Magdalena del Mar,Santa Rosa,5.89,30,10,Olva Courier
1D319,Magdalena del Mar,Santa Rosa,5.89,42,21,Serpost
1D319,Magdalena del Mar,Santa Rosa,5.89,114,14,DHL Express Perú
1D320,Santa Anita,San Martín de Porres,23.05,109,18,Olva Courier
1D320,Santa Anita,San Martín de Porres,23.05,66,10,Serpost
1D320,Santa Anita,San Martín de Porres,23.05,37,22,DHL Express Perú
1D321,Independencia,Punta Hermosa,27.34,66,15,Olva Courier
1D321,Independencia,Punta Hermosa,27.34,107,19,Serpost
1D321,Independencia,Punta Hermosa,27.34,72,15,DHL Express Perú
1D322,Ancón,Bellavista,18.37,116,20,Olva Courier
1D322,Ancón,Bellavista,18.37,33,26,Serpost
1D322,Ancón,Bellavista,18.37,110,18,DHL Express Perú
1D323,La Perla,Santa Anita,7.98,108,15,Olva Courier
1D323,La Perla,Santa Anita,7.98,84,17,Serpost
1D323,La Perla,Santa Anita,7.98,20,15,DHL Express Perú
1D324,Santa Rosa,Pachacámac,8.71,27,23,Olva Courier
1D324,Santa Rosa,Pachacámac,8.71,84,15,Serpost
1D324,Santa Rosa,Pachacámac,8.71,115,14,DHL Express Perú
1D325,Chorrillos,Pucusana,28.91,49,19,Olva Courier
1D325,Chorrillos,Pucusana,28.91,78,22,Serpost
1D325,Chorrillos,Pucusana,28.91,108,18,DHL Express Perú
1D326,Chorrillos,Santa Anita,24.89,91,15,Olva Courier
1D326,Chorrillos,Santa Anita,24.89,120,19,Serpost
1D326,Chorrillos,Santa Anita,24.89,77,23,DHL Express Perú
1D327,Ancón,Independencia,22.13,87,23,Olva Courier
1D327,Ancón,Independencia,22.13,71,19,Serpost
1D327,Ancón,Independencia,22.13,104,19,DHL Express Perú
1D328,La Punta,Ancón,19.96,26,10,Olva Courier
1D328,La Punta,Ancón,19.96,120,20,Serpost
1D328,La Punta,Ancón,19.96,32,12,DHL Express Perú
1D329,Comas,Miraflores,17.53,79,26,Olva Courier
1D329,Comas,Miraflores,17.53,30,10,Serpost
1D329,Comas,Miraflores,17.53,27,16,DHL Express Perú
1D330,Rímac,Pucusana,29.41,115,12,Olva Courier
1D330,Rímac,Pucusana,29.41,22,13,Serpost
1D330,Rímac,Pucusana,29.41,79,20,DHL Express Perú
1D331,Barranco,San Juan de Miraflores,27.92,32,18,Olva Courier
1D331,Barranco,San Juan de Miraflores,27.92,24,15,Serpost
1D331,Barranco,San Juan de Miraflores,27.92,64,16,DHL Express Perú
1D332,Punta Hermosa,La Perla,24.19,110,14,Olva Courier
1D332,Punta Hermosa,La Perla,24.19,122,10,Serpost
1D332,Punta Hermosa,La Perla,24.19,82,19,DHL Express Perú
1D333,Breña,Rímac,7.07,34,17,Olva Courier
1D333,Breña,Rímac,7.07,69,20,Serpost
1D333,Breña,Rímac,7.07,24,14,DHL Express Perú
1D334,Jesús María,Lince,20.77,122,24,Olva Courier
1D334,Jesús María,Lince,20.77,82,11,Serpost
1D334,Jesús María,Lince,20.77,114,15,DHL Express Perú
1D335,San Luis,Callao,15.24,111,24,Olva Courier
1D335,San Luis,Callao,15.24,51,18,Serpost
1D335,San Luis,Callao,15.24,71,15,DHL Express Perú
1D336,Breña,Chorrillos,21.61,85,14,Olva Courier
1D336,Breña,Chorrillos,21.61,49,19,Serpost
1D336,Breña,Chorrillos,21.61,44,20,DHL Express Perú
1D337,Surquillo,Surquillo,8.86,104,19,Olva Courier
1D337,Surquillo,Surquillo,8.86,118,13,Serpost
1D337,Surquillo,Surquillo,8.86,56,23,DHL Express Perú
1D338,Surquillo,Santa Anita,12.35,112,20,Olva Courier
1D338,Surquillo,Santa Anita,12.35,80,11,Serpost
1D338,Surquillo,Santa Anita,12.35,51,18,DHL Express Perú
1D339,Pachacámac,Pueblo Libre,16.38,108,25,Olva Courier
1D339,Pachacámac,Pueblo Libre,16.38,118,26,Serpost
1D339,Pachacámac,Pueblo Libre,16.38,30,21,DHL Express Perú
1D340,Jesús María,Ventanilla,11.93,116,12,Olva Courier
1D340,Jesús María,Ventanilla,11.93,108,23,Serpost
1D340,Jesús María,Ventanilla,11.93,122,18,DHL Express Perú
1D341,La Victoria,Bellavista,13.2,21,14,Olva Courier
1D341,La Victoria,Bellavista,13.2,119,15,Serpost
1D341,La Victoria,Bellavista,13.2,48,14,DHL Express Perú
1D342,Santa Rosa,San Isidro,15.85,86,21,Olva Courier
1D342,Santa Rosa,San Isidro,15.85,29,27,Serpost
1D342,Santa Rosa,San Isidro,15.85,102,14,DHL Express Perú
1D343,Comas,Independencia,9.09,37,20,Olva Courier
1D343,Comas,Independencia,9.09,28,15,Serpost
1D343,Comas,Independencia,9.09,37,14,DHL Express Perú
1D344,Mi Perú,Barranco,18.13,96,15,Olva Courier
1D344,Mi Perú,Barranco,18.13,67,23,Serpost
1D344,Mi Perú,Barranco,18.13,66,17,DHL Express Perú
1D345,Ate,El Agustino,11.1,114,23,Olva Courier
1D345,Ate,El Agustino,11.1,36,20,Serpost
1D345,Ate,El Agustino,11.1,103,17,DHL Express Perú
1D346,La Perla,San Isidro,17.9,72,24,Olva Courier
1D346,La Perla,San Isidro,17.9,52,16,Serpost
1D346,La Perla,San Isidro,17.9,35,15,DHL Express Perú
1D347,Punta Hermosa,Santiago de Surco,9.66,58,20,Olva Courier
1D347,Punta Hermosa,Santiago de Surco,9.66,121,11,Serpost
1D347,Punta Hermosa,Santiago de Surco,9.66,104,15,DHL Express Perú
1D348,San Juan de Miraflores,San Borja,7.0,108,21,Olva Courier
1D348,San Juan de Miraflores,San Borja,7.0,120,12,Serpost
1D348,San Juan de Miraflores,San Borja,7.0,74,20,DHL Express Perú
1D349,Breña,Comas,18.7,120,26,Olva Courier
1D349,Breña,Comas,18.7,46,22,Serpost
1D349,Breña,Comas,18.7,39,16,DHL Express Perú
1D350,San Martín de Porres,Santa Anita,8.72,113,22,Olva Courier
1D350,San Martín de Porres,Santa Anita,8.72,45,17,Serpost
1D350,San Martín de Porres,Santa Anita,8.72,113,25,DHL Express Perú
1D351,Los Olivos,Lurigancho,25.99,57,19,Olva Courier
1D351,Los Olivos,Lurigancho,25.99,47,16,Serpost
1D351,Los Olivos,Lurigancho,25.99,88,17,DHL Express Perú
1D352,La Victoria,Barranco,12.77,70,12,Olva Courier
1D352,La Victoria,Barranco,12.77,119,18,Serpost
1D352,La Victoria,Barranco,12.77,51,16,DHL Express Perú
1D353,Independencia,San Bartolo,27.94,31,16,Olva Courier
1D353,Independencia,San Bartolo,27.94,66,15,Serpost
1D353,Independencia,San Bartolo,27.94,56,15,DHL Express Perú
1D354,El Agustino,Breña,17.23,43,13,Olva Courier
1D354,El Agustino,Breña,17.23,73,12,Serpost
1D354,El Agustino,Breña,17.23,65,17,DHL Express Perú
1D355,Mi Perú,Santa María del Mar,7.16,113,13,Olva Courier
1D355,Mi Perú,Santa María del Mar,7.16,92,12,Serpost
1D355,Mi Perú,Santa María del Mar,7.16,85,20,DHL Express Perú
1D356,Surquillo,Santa Rosa,17.96,40,15,Olva Courier
1D356,Surquillo,Santa Rosa,17.96,19,10,Serpost
1D356,Surquillo,Santa Rosa,17.96,100,23,DHL Express Perú
1D357,Punta Hermosa,Lurigancho,21.6,115,22,Olva Courier
1D357,Punta Hermosa,Lurigancho,21.6,66,18,Serpost
1D357,Punta Hermosa,Lurigancho,21.6,104,12,DHL Express Perú
1D358,Comas,Chorrillos,11.4,97,21,Olva Courier
1D358,Comas,Chorrillos,11.4,102,12,Serpost
1D358,Comas,Chorrillos,11.4,36,25,DHL Express Perú
1D359,San Martín de Porres,San Miguel,11.58,55,16,Olva Courier
1D359,San Martín de Porres,San Miguel,11.58,34,14,Serpost
1D359,San Martín de Porres,San Miguel,11.58,112,25,DHL Express Perú
1D360,La Molina,La Molina,18.35,65,21,Olva Courier
1D360,La Molina,La Molina,18.35,83,23,Serpost
1D360,La Molina,La Molina,18.35,42,22,DHL Express Perú
1D361,San Bartolo,San Borja,12.1,46,14,Olva Courier
1D361,San Bartolo,San Borja,12.1,48,19,Serpost
1D361,San Bartolo,San Borja,12.1,120,19,DHL Express Perú
1D362,Pucusana,Cieneguilla,10.7,20,19,Olva Courier
1D362,Pucusana,Cieneguilla,10.7,112,21,Serpost
1D362,Pucusana,Cieneguilla,10.7,31,23,DHL Express Perú
1D363,Los Olivos,San Juan de Miraflores,11.37,93,26,Olva Courier
1D363,Los Olivos,San Juan de Miraflores,11.37,46,22,Serpost
1D363,Los Olivos,San Juan de Miraflores,11.37,42,14,DHL Express Perú
1D364,Magdalena del Mar,Punta Hermosa,21.47,122,11,Olva Courier
1D364,Magdalena del Mar,Punta Hermosa,21.47,93,17,Serpost
1D364,Magdalena del Mar,Punta Hermosa,21.47,26,15,DHL Express Perú
1D365,Cieneguilla,Magdalena del Mar,7.94,123,19,Olva Courier
1D365,Cieneguilla,Magdalena del Mar,7.94,77,15,Serpost
1D365,Cieneguilla,Magdalena del Mar,7.94,69,11,DHL Express Perú
1D366,Lince,Pueblo Libre,8.93,103,14,Olva Courier
1D366,Lince,Pueblo Libre,8.93,32,20,Serpost
1D366,Lince,Pueblo Libre,8.93,25,21,DHL Express Perú
1D367,Barranco,Surquillo,12.02,87,22,Olva Courier
1D367,Barranco,Surquillo,12.02,46,20,Serpost
1D367,Barranco,Surquillo,12.02,101,22,DHL Express Perú
1D368,Ventanilla,Santiago de Surco,12.31,49,24,Olva Courier
1D368,Ventanilla,Santiago de Surco,12.31,32,26,Serpost
1D368,Ventanilla,Santiago de Surco,12.31,85,15,DHL Express Perú
1D369,Jesús María,Surquillo,17.48,32,18,Olva Courier
1D369,Jesús María,Surquillo,17.48,49,16,Serpost
1D369,Jesús María,Surquillo,17.48,43,23,DHL Express Perú
1D370,Jesús María,Villa María del Triunfo,18.11,77,16,Olva Courier
1D370,Jesús María,Villa María del Triunfo,18.11,88,13,Serpost
1D370,Jesús María,Villa María del Triunfo,18.11,90,9,DHL Express Perú
1D371,San Martín de Porres,Villa María del Triunfo,5.76,116,14,Olva Courier
1D371,San Martín de Porres,Villa María del Triunfo,5.76,58,15,Serpost
1D371,San Martín de Porres,Villa María del Triunfo,5.76,82,13,DHL Express Perú
1D372,Pucusana,Puente Piedra,9.22,123,14,Olva Courier
1D372,Pucusana,Puente Piedra,9.22,55,21,Serpost
1D372,Pucusana,Puente Piedra,9.22,110,14,DHL Express Perú
1D373,Miraflores,Lurigancho,20.71,70,18,Olva Courier
1D373,Miraflores,Lurigancho,20.71,112,15,Serpost
1D373,Miraflores,Lurigancho,20.71,71,26,DHL Express Perú
1D374,San Juan de Lurigancho,La Perla,17.84,68,17,Olva Courier
1D374,San Juan de Lurigancho,La Perla,17.84,74,11,Serpost
1D374,San Juan de Lurigancho,La Perla,17.84,80,19,DHL Express Perú
1D375,Miraflores,Comas,15.31,100,21,Olva Courier
1D375,Miraflores,Comas,15.31,43,12,Serpost
1D375,Miraflores,Comas,15.31,112,19,DHL Express Perú
1D376,El Agustino,Magdalena del Mar,14.9,56,18,Olva Courier
1D376,El Agustino,Magdalena del Mar,14.9,77,15,Serpost
1D376,El Agustino,Magdalena del Mar,14.9,59,24,DHL Express Perú
1D377,Jesús María,Barranco,14.64,46,18,Olva Courier
1D377,Jesús María,Barranco,14.64,110,19,Serpost
1D377,Jesús María,Barranco,14.64,107,15,DHL Express Perú
1D378,Cieneguilla,Surquillo,25.22,50,13,Olva Courier
1D378,Cieneguilla,Surquillo,25.22,53,21,Serpost
1D378,Cieneguilla,Surquillo,25.22,108,25,DHL Express Perú
1D379,Puente Piedra,Lince,22.65,63,19,Olva Courier
1D379,Puente Piedra,Lince,22.65,104,22,Serpost
1D379,Puente Piedra,Lince,22.65,75,16,DHL Express Perú
1D380,Callao,Chaclacayo,20.97,27,25,Olva Courier
1D380,Callao,Chaclacayo,20.97,106,21,Serpost
1D380,Callao,Chaclacayo,20.97,56,22,DHL Express Perú
1D381,Independencia,Callao,6.94,36,17,Olva Courier
1D381,Independencia,Callao,6.94,106,14,Serpost
1D381,Independencia,Callao,6.94,72,15,DHL Express Perú
1D382,La Molina,Magdalena del Mar,11.56,102,15,Olva Courier
1D382,La Molina,Magdalena del Mar,11.56,41,22,Serpost
1D382,La Molina,Magdalena del Mar,11.56,126,16,DHL Express Perú
1D383,Cercado de Lima,Chorrillos,23.56,80,12,Olva Courier
1D383,Cercado de Lima,Chorrillos,23.56,75,19,Serpost
1D383,Cercado de Lima,Chorrillos,23.56,33,12,DHL Express Perú
1D384,Los Olivos,San Borja,11.36,54,21,Olva Courier
1D384,Los Olivos,San Borja,11.36,88,21,Serpost
1D384,Los Olivos,San Borja,11.36,62,23,DHL Express Perú
1D385,Carmen de la Legua Reynoso,Chaclacayo,19.14,24,16,Olva Courier
1D385,Carmen de la Legua Reynoso,Chaclacayo,19.14,82,25,Serpost
1D385,Carmen de la Legua Reynoso,Chaclacayo,19.14,60,15,DHL Express Perú
1D386,La Victoria,Cercado de Lima,26.89,64,17,Olva Courier
1D386,La Victoria,Cercado de Lima,26.89,94,27,Serpost
1D386,La Victoria,Cercado de Lima,26.89,120,25,DHL Express Perú
1D387,Chorrillos,Villa María del Triunfo,17.21,60,12,Olva Courier
1D387,Chorrillos,Villa María del Triunfo,17.21,74,16,Serpost
1D387,Chorrillos,Villa María del Triunfo,17.21,65,27,DHL Express Perú
1D388,Jesús María,San Isidro,28.04,118,20,Olva Courier
1D388,Jesús María,San Isidro,28.04,86,16,Serpost
1D388,Jesús María,San Isidro,28.04,23,17,DHL Express Perú
1D389,Surquillo,Jesús María,15.75,93,21,Olva Courier
1D389,Surquillo,Jesús María,15.75,53,23,Serpost
1D389,Surquillo,Jesús María,15.75,78,14,DHL Express Perú
1D390,Jesús María,La Punta,29.54,80,22,Olva Courier
1D390,Jesús María,La Punta,29.54,93,24,Serpost
1D390,Jesús María,La Punta,29.54,64,10,DHL Express Perú
1D391,San Miguel,La Perla,27.49,22,23,Olva Courier
1D391,San Miguel,La Perla,27.49,39,10,Serpost
1D391,San Miguel,La Perla,27.49,31,12,DHL Express Perú
1D392,Rímac,Lurigancho,13.05,36,19,Olva Courier
1D392,Rímac,Lurigancho,13.05,95,21,Serpost
1D392,Rímac,Lurigancho,13.05,91,19,DHL Express Perú
1D393,La Punta,Lince,21.06,43,20,Olva Courier
1D393,La Punta,Lince,21.06,38,15,Serpost
1D393,La Punta,Lince,21.06,106,15,DHL Express Perú
1D394,Barranco,Santa Rosa,13.39,66,25,Olva Courier
1D394,Barranco,Santa Rosa,13.39,101,14,Serpost
1D394,Barranco,Santa Rosa,13.39,56,16,DHL Express Perú
1D395,Ancón,San Isidro,25.82,77,17,Olva Courier
1D395,Ancón,San Isidro,25.82,44,17,Serpost
1D395,Ancón,San Isidro,25.82,62,24,DHL Express Perú
1D396,Chaclacayo,San Martín de Porres,8.28,79,14,Olva Courier
1D396,Chaclacayo,San Martín de Porres,8.28,31,15,Serpost
1D396,Chaclacayo,San Martín de Porres,8.28,51,25,DHL Express Perú
1D397,San Martín de Porres,Punta Negra,8.94,43,18,Olva Courier
1D397,San Martín de Porres,Punta Negra,8.94,91,21,Serpost
1D397,San Martín de Porres,Punta Negra,8.94,34,19,DHL Express Perú
1D398,Pucusana,Jesús María,10.54,63,24,Olva Courier
1D398,Pucusana,Jesús María,10.54,122,23,Serpost
1D398,Pucusana,Jesús María,10.54,122,18,DHL Express Perú
1D399,La Victoria,La Punta,23.54,50,10,Olva Courier
1D399,La Victoria,La Punta,23.54,79,16,Serpost
1D399,La Victoria,La Punta,23.54,39,12,DHL Express Perú
1D400,Miraflores,San Bartolo,15.48,54,19,Olva Courier
1D400,Miraflores,San Bartolo,15.48,30,13,Serpost
1D400,Miraflores,San Bartolo,15.48,33,12,DHL Express Perú
1D401,La Perla,Santa María del Mar,29.15,71,15,Olva Courier
1D401,La Perla,Santa María del Mar,29.15,41,16,Serpost
1D401,La Perla,Santa María del Mar,29.15,61,19,DHL Express Perú
1D402,Punta Hermosa,Pueblo Libre,7.0,62,20,Olva Courier
1D402,Punta Hermosa,Pueblo Libre,7.0,55,18,Serpost
1D402,Punta Hermosa,Pueblo Libre,7.0,24,17,DHL Express Perú
1D403,Chaclacayo,Ancón,19.24,32,19,Olva Courier
1D403,Chaclacayo,Ancón,19.24,71,24,Serpost
1D403,Chaclacayo,Ancón,19.24,40,25,DHL Express Perú
1D404,Chaclacayo,Comas,28.1,102,23,Olva Courier
1D404,Chaclacayo,Comas,28.1,61,13,Serpost
1D404,Chaclacayo,Comas,28.1,44,26,DHL Express Perú
1D405,Miraflores,San Miguel,7.79,121,17,Olva Courier
1D405,Miraflores,San Miguel,7.79,86,25,Serpost
1D405,Miraflores,San Miguel,7.79,84,10,DHL Express Perú
1D406,Santa Anita,Ancón,27.64,39,16,Olva Courier
1D406,Santa Anita,Ancón,27.64,32,12,Serpost
1D406,Santa Anita,Ancón,27.64,42,18,DHL Express Perú
1D407,San Martín de Porres,Carmen de la Legua Reynoso,19.49,117,25,Olva Courier
1D407,San Martín de Porres,Carmen de la Legua Reynoso,19.49,44,19,Serpost
1D407,San Martín de Porres,Carmen de la Legua Reynoso,19.49,102,23,DHL Express Perú
1D408,Jesús María,Cieneguilla,22.51,85,26,Olva Courier
1D408,Jesús María,Cieneguilla,22.51,20,18,Serpost
1D408,Jesús María,Cieneguilla,22.51,98,15,DHL Express Perú
1D409,Mi Perú,San Bartolo,5.66,124,19,Olva Courier
1D409,Mi Perú,San Bartolo,5.66,58,14,Serpost
1D409,Mi Perú,San Bartolo,5.66,66,11,DHL Express Perú
1D410,San Miguel,Santa María del Mar,18.67,90,15,Olva Courier
1D410,San Miguel,Santa María del Mar,18.67,116,21,Serpost
1D410,San Miguel,Santa María del Mar,18.67,90,13,DHL Express Perú
1D411,La Molina,Breña,23.29,112,23,Olva Courier
1D411,La Molina,Breña,23.29,68,15,Serpost
1D411,La Molina,Breña,23.29,91,12,DHL Express Perú
1D412,San Juan de Lurigancho,Lurigancho,11.27,44,20,Olva Courier
1D412,San Juan de Lurigancho,Lurigancho,11.27,62,24,Serpost
1D412,San Juan de Lurigancho,Lurigancho,11.27,99,10,DHL Express Perú
1D413,La Punta,San Isidro,27.6,90,9,Olva Courier
1D413,La Punta,San Isidro,27.6,40,14,Serpost
1D413,La Punta,San Isidro,27.6,73,21,DHL Express Perú
1D414,Santa Anita,Independencia,13.32,76,26,Olva Courier
1D414,Santa Anita,Independencia,13.32,71,23,Serpost
1D414,Santa Anita,Independencia,13.32,54,17,DHL Express Perú
1D415,Punta Hermosa,Comas,11.45,92,20,Olva Courier
1D415,Punta Hermosa,Comas,11.45,119,24,Serpost
1D415,Punta Hermosa,Comas,11.45,68,20,DHL Express Perú
1D416,San Bartolo,Comas,25.52,73,18,Olva Courier
1D416,San Bartolo,Comas,25.52,18,23,Serpost
1D416,San Bartolo,Comas,25.52,90,15,DHL Express Perú
1D417,Comas,Mi Perú,10.66,39,15,Olva Courier
1D417,Comas,Mi Perú,10.66,18,20,Serpost
1D417,Comas,Mi Perú,10.66,85,12,DHL Express Perú
1D418,Jesús María,Bellavista,13.89,86,21,Olva Courier
1D418,Jesús María,Bellavista,13.89,99,24,Serpost
1D418,Jesús María,Bellavista,13.89,86,16,DHL Express Perú
1D419,Lurín,Barranco,20.28,117,25,Olva Courier
1D419,Lurín,Barranco,20.28,47,24,Serpost
1D419,Lurín,Barranco,20.28,103,25,DHL Express Perú
1D420,Ate,Chorrillos,16.52,104,18,Olva Courier
1D420,Ate,Chorrillos,16.52,24,17,Serpost
1D420,Ate,Chorrillos,16.52,36,14,DHL Express Perú
1D421,Carabayllo,Comas,25.99,122,21,Olva Courier
1D421,Carabayllo,Comas,25.99,24,23,Serpost
1D421,Carabayllo,Comas,25.99,34,19,DHL Express Perú
1D422,San Luis,Villa María del Triunfo,28.85,71,17,Olva Courier
1D422,San Luis,Villa María del Triunfo,28.85,124,25,Serpost
1D422,San Luis,Villa María del Triunfo,28.85,117,18,DHL Express Perú
1D423,San Juan de Lurigancho,Lurigancho,6.52,116,16,Olva Courier
